UPC,Category,Subcategory,"Item Description",Size,UOM
"=""30000041307""","Adult Cereal",,"Quaker Instant Grits",36,oz
"=""30000041703""","Adult Cereal",,"Quaker Grits 5min",24,oz
"=""38000202094""","Adult Cereal",,"Kellogg's Frosted Mini Wheats Little Bites Chocolate",23,oz
"=""38000201288""","Adult Cereal",,"Kellogg's Frosted Mini Wheats Pumpkin Spice",22,oz
"=""38000245688""","Adult Cereal",,"Kellogg's Frosted Mini Wheats Cinnamon Roll",22,oz
"=""30000571132""","Adult Cereal",,"Quaker Oatmeal Squares Golden Maple",21,oz
"=""30000320730""","Adult Cereal",,"Quaker Cinnamon Oatmeal Squares",21,oz
"=""30000064030""","Adult Cereal",,"Quaker Brown Sugar Oatmeal Squares",21,oz
"=""30000061107""","Adult Cereal",,"Quaker Life Cereal",21,oz
"=""16000171022""","Adult Cereal",,"General Mills Rice Chex",18,oz
"=""16000171046""","Adult Cereal",,"General Mills Original Kix",18,oz
"=""16000168756""","Adult Cereal",,"General Mills Multi Grain Cheerios",18,oz
"=""16000169623""","Adult Cereal",,"General Mills Honey Kix",18,oz
"=""16000169661""","Adult Cereal",,"General Mills Berry Berry Kix",18,oz
"=""16000171084""","Adult Cereal",,"General Mills Corn Chex",18,oz
"=""30000063408""","Adult Cereal",,"Quaker Life Cereal",15,oz
"=""70552801233""","Adult Cereal",,"Winco Toasted Oats",14,oz
"=""884912359162""","Adult Cereal",,"Post - Honey Bunches of Oats with Almonds",12,oz
"=""884912359155""","Adult Cereal",,"Post - Honey Bunches of Oats Honey Roasted",12,oz
"=""884912359421""","Adult Cereal",,"Post - Honey Bunches of Oats with Maple and Pecans",12,oz
"=""884912377142""","Adult Cereal",,"Post - Honey Bunches of Oats with Vanilla Bunches",12,oz
"=""036800114128""","Adult Cereal",,"Food Club Frosted Shredded Wheat",18,oz
"=""038000249891""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",34,oz
"=""016000163928""","Adult Cereal",,"General Mills Cheerios",21.7,oz
"=""038000224690""","Adult Cereal",,"Kellogg's Special K Banana",12.8,oz
"=""038000224713""","Adult Cereal",,"Kellogg's Special K Banana",18.5,oz
"=""717544116981""","Adult Cereal",,"Sunny Select Oats & More with Almonds",14.5,oz
"=""016000170117""","Adult Cereal",,"General Mills Sesame Street Cinnamon",12,oz
"=""016000170124""","Adult Cereal",,"General Mills Sesame Street Berry",12,oz
"=""884912356178""","Adult Cereal",,"Post Honey Bunches of Oats Honey Roasted",30.5,oz
"=""884912356291""","Adult Cereal",,"Post Honey Bunches of Oats w/ Almonds",30.5,oz
